관측시간,Avoc-PM10(㎍/m³),Avoc-PM2.5(㎍/m³),Avoc-PM1.0(㎍/m³),Avoc-TC,BvocPM10(㎍/m³),Bvoc-PM2.5(㎍/m³),Bvoc-PM1.0(㎍/m³),Bvoc-TC,온도(℃),습도(%),풍향,풍속(㎧)
2019-08-25 22:20,3.2,3.2,3,41379.2,.4,.4,.3,5063.8,20.9,46.6,0,0
2019-08-25 22:30,3.2,3,2.9,41171.7,.5,.6,.6,8069.5,21.3,49.2,0,0
2019-08-25 22:40,3.1,3.1,2.9,41235,.5,.5,.5,8395.3,21.8,51,0,0
2019-08-25 22:50,3.2,3.2,3.1,42278.3,.5,.5,.5,8625.8,21.4,50,0,0
2019-08-25 23:00,3.3,3.2,3.1,41980,.6,.6,.6,9792.7,21.3,48.9,0,0
2019-08-25 23:10,3.2,3.2,3.1,42543.3,.7,.6,.6,9497.5,21.2,48.8,0,0
2019-08-25 23:21,3.4,3.3,3.2,43638.2,.6,.6,.6,9132.1,21.3,48.5,0,0
2019-08-25 23:41,3.4,3.2,3.1,42466.4,.3,.4,.5,8007.5,21.2,48.1,0,0
2019-08-25 23:51,3.2,3.1,3,41122.5,.6,.5,.5,7768.3,21.2,48.1,0,0
2019-08-26 00:01,3.1,3.1,2.9,40522.5,.6,.5,.5,7098.5,21.1,48.2,0,0
2019-08-26 00:11,3,2.9,2.8,44016.7,.5,.5,.5,5872.7,22.9,44.4,0,0
2019-08-26 00:21,3.1,3,2.8,45175.8,.4,.4,.4,7361.7,24.1,43.6,0,0
2019-08-26 00:31,3.1,3,2.8,45610,.3,.4,.4,8177.7,24.6,44.2,0,0
2019-08-26 00:41,3,3,2.7,46133.3,.6,.5,.6,10255.2,24.9,44.6,0,0
2019-08-26 00:51,3.1,3,2.8,47004.2,.6,.6,.6,10547.7,25.1,45,0,0
2019-08-26 01:02,3.1,3.1,2.9,49091.7,.6,.5,.4,9103.8,25.4,45.9,0,0
2019-08-26 01:12,3.3,3.2,2.9,50609.2,.2,.2,.3,5422.7,25.5,46.6,0,0
2019-08-26 01:22,3.3,3.2,2.9,50995.8,.1,.2,.3,6467,25.7,47,0,0
2019-08-26 01:32,3.3,3.2,2.9,50369.2,.5,.5,.5,10776.8,25.8,47.4,0,0
2019-08-26 01:42,3.4,3.3,2.9,52102.5,.2,.3,.4,9293.3,25.9,47.8,0,0
2019-08-26 01:52,3.2,3.1,2.9,53143.3,.5,.6,.5,10600.3,26,48,0,0
2019-08-26 02:02,3.4,3.3,3,54900,.3,.4,.4,9662,26.1,48.6,0,0
2019-08-26 02:12,3.4,3.3,3,54471.7,.4,.5,.5,11030,26.3,48.9,0,0
2019-08-26 02:22,3.4,3.3,3.1,55685.8,.6,.5,.5,12051,26.3,48.9,0,0
2019-08-26 02:32,3.4,3.4,3.2,56982.5,.5,.5,.5,12440.3,26.5,49.5,0,0
2019-08-26 02:43,3.4,3.4,3.1,57286.1,.7,.7,.6,13641.1,26.6,49.7,0,0
2019-08-26 02:53,3.5,3.5,3.2,58150.8,.3,.4,.4,8671.2,26.6,49.9,0,0
2019-08-26 03:03,3.4,3.3,3.1,55975,.5,.5,.5,10786.7,26.7,50.2,0,0
2019-08-26 03:13,3.4,3.3,3,54689.2,.5,.5,.5,10335.8,26.8,50.5,0,0
2019-08-26 03:23,3.2,3.2,3,53867.5,.6,.6,.6,11512.5,26.8,50.8,0,0
2019-08-26 03:33,3.4,3.3,3,54442.5,.4,.4,.5,11005,26.9,51,0,0
2019-08-26 03:43,3.2,3.1,2.8,52241.7,.5,.6,.6,12836.7,26.9,51.3,0,0
